,population,Run,Evacuation percentage,Evacuation time,Flow,Mean exit time,std exit time,relaxation_time,door_size
68,,68,100.0,24.69,4.082474226804123,12.955900000000003,7.436659276988573,0.2968421052631579,
69,,69,100.0,22.32,4.4877606527651865,10.546599999999998,6.140035241566352,0.2968421052631579,
70,,70,100.0,25.830000000000002,3.969526864474739,12.539399999999999,7.183333940800087,0.3363157894736842,
71,,71,100.0,25.39,3.9270130900436335,11.662600000000003,6.773144178341847,0.3363157894736842,
72,,72,100.0,21.05,4.87925086249384,10.859599999999999,5.726552706383649,0.3363157894736842,
73,,73,100.0,24.73,4.116424116424116,12.5759,6.969856033033402,0.3363157894736842,
74,,74,100.0,23.48,4.274611398963731,11.4023,6.46279481948699,0.3363157894736842,
75,,75,100.0,26.38,3.8238702201622248,13.578700000000001,8.067275165504125,0.3363157894736842,
76,,76,100.0,23.77,4.191363251481795,12.5788,6.852332240289662,0.3363157894736842,
77,,77,100.0,25.91,3.8899803536345776,12.8475,7.516956773948759,0.3363157894736842,
78,,78,100.0,23.2,4.317488006977759,11.4012,6.659048720244194,0.3363157894736842,
79,,79,100.0,27.23,3.71900826446281,13.5315,7.7395919521547505,0.3363157894736842,
80,,80,100.0,21.27,4.743651173933876,10.5166,5.905440261899928,0.3757894736842105,
81,,81,100.0,22.63,4.469525959367946,11.888700000000002,6.12999705950133,0.3757894736842105,
82,,82,100.0,24.76,4.052394596807204,12.308300000000001,7.315031025155662,0.3757894736842105,
83,,83,100.0,20.35,4.95,9.8288,5.509984377326658,0.3757894736842105,
84,,84,100.0,26.34,3.8521400778210118,13.785500000000003,7.465843484790847,0.3757894736842105,
85,,85,100.0,26.45,3.780068728522337,12.2048,7.371726697663887,0.3757894736842105,
86,,86,100.0,23.59,4.245283018867925,11.205900000000002,6.340462987747022,0.3757894736842105,
87,,87,100.0,23.87,4.182509505703422,11.481900000000001,6.19874811326587,0.3757894736842105,
88,,88,100.0,24.71,4.067378800328677,12.736600000000001,6.9074283276057304,0.3757894736842105,
89,,89,100.0,20.97,4.787234042553192,10.140800000000002,5.865629329777278,0.3757894736842105,
90,,90,100.0,23.63,4.370860927152318,11.854400000000004,6.16699005212675,0.41526315789473683,
91,,91,100.0,26.43,3.788748564867968,13.006100000000002,7.435771837420902,0.41526315789473683,
92,,92,100.0,26.97,3.731624575951753,13.3551,7.420406274782283,0.41526315789473683,
93,,93,100.0,22.69,4.427549194991055,10.383099999999999,5.616331470080642,0.41526315789473683,
94,,94,100.0,25.490000000000002,3.9663461538461537,12.6755,6.962160986795738,0.41526315789473683,
95,,95,100.0,24.53,4.0707236842105265,12.496999999999996,6.699358705929029,0.41526315789473683,
96,,96,100.0,24.810000000000002,4.095986760446834,11.640999999999998,6.884213605757521,0.41526315789473683,
97,,97,100.0,26.16,3.9130434782608696,13.774799999999997,7.025396136068547,0.41526315789473683,
98,,98,100.0,23.330000000000002,4.396092362344582,11.757699999999998,6.301544921203005,0.41526315789473683,
99,,99,100.0,28.2,3.6157779401022645,13.8397,7.962173127933851,0.41526315789473683,
100,,100,100.0,22.6,4.451438848920863,10.2471,5.710312714994715,0.45473684210526316,
101,,101,100.0,23.84,4.267241379310345,10.802200000000001,6.10507481898908,0.45473684210526316,
102,,102,100.0,24.560000000000002,4.205607476635514,11.8166,6.6066544689977,0.45473684210526316,
103,,103,100.0,25.830000000000002,3.889980353634577,12.9657,7.383495826243935,0.45473684210526316,
104,,104,100.0,22.67,4.465493910690121,10.971300000000001,5.682984643173467,0.45473684210526316,
105,,105,100.0,24.48,4.047424366312346,11.7024,6.4581319999898525,0.45473684210526316,
106,,106,100.0,23.04,4.405874499332444,11.2039,6.1115789913635865,0.45473684210526316,
107,,107,100.0,25.78,3.8976377952755903,11.985200000000003,7.011518586503846,0.45473684210526316,
108,,108,100.0,23.05,4.401956425077812,11.580700000000002,6.331054495121805,0.45473684210526316,
109,,109,100.0,23.37,4.388297872340425,11.411499999999998,6.073368488572038,0.45473684210526316,
110,,110,100.0,23.39,4.368932038834951,11.376100000000001,6.015498651841178,0.49421052631578943,
111,,111,100.0,22.64,4.487760652765186,10.8543,5.835965510902583,0.49421052631578943,
112,,112,100.0,28.01,3.5624325296869372,13.626900000000003,7.330954255274636,0.49421052631578943,
113,,113,100.0,21.54,4.598235020901069,10.301300000000001,5.740308768487612,0.49421052631578943,
114,,114,100.0,24.6,4.084158415841584,11.3214,6.362952116460066,0.49421052631578943,
115,,115,99.0,27.72,3.7065052950075645,15.079393939393938,7.211711254673139,0.49421052631578943,
116,,116,100.0,22.34,4.543368517668656,10.556399999999998,5.655472458360373,0.49421052631578943,
117,,117,100.0,24.85,4.064039408866995,12.206700000000003,6.522274972598274,0.49421052631578943,
118,,118,100.0,25.21,4.037520391517129,11.9646,6.44071007754815,0.49421052631578943,
119,,119,100.0,27.310000000000002,3.665309144761199,12.494699999999996,7.324822120776047,0.49421052631578943,
120,,120,100.0,23.87,4.241645244215938,10.7808,6.07387179198364,0.5336842105263158,
121,,121,100.0,21.17,4.836345872007816,9.6129,5.435595233776569,0.5336842105263158,
122,,122,99.0,25.32,4.041237113402062,11.25232323232323,6.175235404631795,0.5336842105263158,
123,,123,100.0,24.82,4.1301627033792245,10.964100000000004,6.091645561460766,0.5336842105263158,
124,,124,100.0,26.1,3.8747553816046967,11.716899999999999,7.024373395973524,0.5336842105263158,
125,,125,100.0,24.63,4.1405269761606025,12.472800000000005,6.441398317355346,0.5336842105263158,
126,,126,100.0,25.21,3.9951573849878934,12.9693,6.951656768589977,0.5336842105263158,
127,,127,100.0,23.400000000000002,4.396092362344582,10.721000000000002,6.0165664391886935,0.5336842105263158,
128,,128,100.0,24.71,4.175453395191902,12.199100000000001,6.328457149170633,0.5336842105263158,
129,,129,100.0,23.97,4.159663865546219,10.9069,6.238878054894035,0.5336842105263158,
130,,130,100.0,24.96,4.037520391517129,10.292200000000001,6.41541681334026,0.5731578947368421,
131,,131,100.0,27.09,3.724604966139955,11.9488,6.939917369170117,0.5731578947368421,
