,door_size,Run,Evacuation percentage,Evacuation time,Flow,Mean exit time,std exit time,population
185,2.5894736842105264,200,100.0,12.59,15.818759936406995,6.070350000000001,3.2305054099192576,200
186,2.5894736842105264,200,100.0,12.66,15.731225296442688,6.20455,3.0473568409492846,200
187,2.5894736842105264,200,100.0,13.05,15.45031055900621,6.22825,3.2986981500168553,200
188,2.5894736842105264,200,100.0,12.620000000000001,15.958299919807537,6.09905,3.170323540945207,200
189,2.5894736842105264,200,100.0,12.89,15.45031055900621,6.2155000000000005,3.205552618182971,200
190,2.7,200,100.0,11.93,17.259323503902863,5.98375,2.816432655330152,200
191,2.7,200,100.0,12.02,17.21453287197232,5.941600000000001,2.9677935292335964,200
192,2.7,200,99.5,11.93,16.966580976863753,5.813768844221106,3.0059431647876353,200
193,2.7,200,100.0,12.280000000000001,16.21841890790546,6.0675,3.0579747871745075,200
194,2.7,200,100.0,12.18,16.43270024772915,5.80615,3.031219082005716,200
195,2.7,200,100.0,12.02,17.62621789193977,5.9326,2.9641783018275274,200
196,2.7,200,100.0,11.84,16.821639898562974,5.65395,2.942126175004777,200
197,2.7,200,100.0,12.040000000000001,16.6110183639399,5.620900000000001,3.0494448279636033,200
176,2.478947368421053,200,100.0,12.94,15.450310559006212,6.13095,3.1972463965263147,200
150,2.2578947368421054,200,100.0,14.3,14.133522727272727,6.918000000000001,3.6957147532904164,200
175,2.478947368421053,200,100.0,12.97,15.681639085894403,6.182,3.2303532174590037,200
173,2.478947368421053,200,100.0,13.38,14.88406881077038,6.63115,3.4623529016519807,200
152,2.2578947368421054,200,100.0,14.75,13.50067842605156,7.3514,3.8067620395988313,200
153,2.2578947368421054,200,100.0,14.51,13.877266387726639,7.099150000000001,3.6523392074025174,200
154,2.2578947368421054,200,100.0,13.99,14.79553903345725,6.7275,3.6054232949375575,200
155,2.2578947368421054,200,100.0,14.15,14.123491838183108,6.75375,3.615865158120328,200
156,2.2578947368421054,200,100.0,14.33,13.964912280701755,7.00845,3.7594546938987556,200
157,2.2578947368421054,200,100.0,14.67,14.043754410726887,7.277699999999999,3.7914761196437925,200
158,2.2578947368421054,200,100.0,14.86,13.519021739130435,7.1366,4.067512721392949,200
159,2.2578947368421054,200,100.0,14.42,13.867595818815332,7.1297500000000005,3.818386677853363,200
160,2.368421052631579,200,100.0,14.16,14.76261127596439,6.7585500000000005,3.4912229355094375,200
161,2.368421052631579,200,100.0,14.02,14.204139900071377,6.75065,3.646532472481813,200
162,2.368421052631579,200,100.0,13.46,15.534738485558156,6.61855,3.3492951928644215,200
163,2.368421052631579,200,100.0,13.26,15.018867924528301,6.4808,3.503122420565307,200
164,2.368421052631579,200,100.0,13.33,15.47433903576983,6.5911,3.3899232570136766,200
165,2.368421052631579,200,100.0,13.290000000000001,15.694006309148262,6.580550000000001,3.3446073294846155,200
166,2.368421052631579,200,100.0,13.31,15.156130997715156,6.2112,3.399245786876552,200
167,2.368421052631579,200,100.0,13.82,14.686346863468634,6.72705,3.531187366678943,200
168,2.368421052631579,200,100.0,12.39,16.087308003233627,5.931800000000001,3.1664757385798925,200
169,2.368421052631579,200,100.0,13.68,15.156130997715158,6.531549999999999,3.4136904531679866,200
170,2.478947368421053,200,100.0,12.98,15.343099460292983,6.21825,3.372075757165058,200
171,2.478947368421053,200,100.0,14.120000000000001,14.19400855920114,7.054550000000001,3.7835143320734264,200
172,2.478947368421053,200,100.0,12.89,15.45031055900621,6.120250000000001,3.2928520786026496,200
174,2.478947368421053,200,100.0,13.540000000000001,14.740740740740739,6.786449999999999,3.431533477548731,200
100,1.7052631578947368,200,100.0,20.87,9.783677482792527,10.523800000000001,5.7747487543510845,200
99,1.7052631578947368,200,100.0,17.75,11.332574031890662,8.578299999999999,4.63001721455063,200
98,1.5947368421052632,200,100.0,21.11,9.530651340996169,10.065249999999999,5.932555097716092,200
26,0.8210526315789474,200,100.0,77.71000000000001,2.6013071895424833,36.35955,20.17555551899377,200
27,0.8210526315789474,200,100.0,78.99,2.521860347231023,34.05695,20.142316993504846,200
28,0.8210526315789474,200,100.0,77.73,2.5604734945959855,36.17065,22.10204601996938,200
29,0.8210526315789474,200,100.0,71.83,2.7902411665731917,35.81315,19.64214980142469,200
30,0.8210526315789474,200,100.0,69.28,2.8974956319161325,34.010600000000004,17.574623426489527,200
31,0.8210526315789474,200,100.0,86.64,2.3037740217642972,39.37485,24.554490301108597,200
32,0.9315789473684211,200,100.0,53.19,3.7739427271003225,24.72715,14.059284433119519,200
33,0.9315789473684211,200,100.0,56.53,3.549135009809167,27.18545,15.473535936215315,200
34,0.9315789473684211,200,100.0,51.870000000000005,3.8513644281014128,25.064300000000003,13.731536255996586,200
35,0.9315789473684211,200,100.0,52.870000000000005,3.7962609690957647,26.22855,14.44021097012814,200
36,0.9315789473684211,200,100.0,57.32,3.5029044182362257,28.952700000000004,14.764129378038424,200
37,0.9315789473684211,200,100.0,57.4,3.507225942897427,28.292799999999996,15.259214735092309,200
38,0.9315789473684211,200,100.0,56.08,3.590761457957416,27.438099999999995,15.088116072694946,200
39,0.9315789473684211,200,100.0,51.72,3.883684621389539,24.441350000000003,14.305735318132456,200
40,1.0421052631578949,200,100.0,39.53,5.124903425186711,19.206100000000003,10.58642663672088,200
41,1.0421052631578949,200,100.0,41.82,4.8572125945814015,20.55635,11.249584567538975,200
42,1.0421052631578949,200,100.0,44.660000000000004,4.509404033537276,21.801550000000002,12.009434569993493,200
43,1.0421052631578949,200,100.0,43.38,4.652794014496142,21.09085,11.597706443571346,200
44,1.0421052631578949,200,100.0,44.78,4.492099322799096,21.15495,11.881047616258384,200
45,1.0421052631578949,200,100.0,46.49,4.31109185441941,24.300699999999996,11.875297679844687,200
46,1.0421052631578949,200,100.0,43.57,4.613957801993972,21.04095,11.085909006028768,200
25,0.9315789473684211,200,100.0,59.57,3.3717383937648253,28.921400000000002,15.934340780860783,200
47,1.0421052631578949,200,100.0,47.06,4.277730008598452,21.7711,12.883959361709072,200
24,0.9315789473684211,200,100.0,49.85,4.03242147922999,23.6809,13.534344743213122,200
22,0.7105263157894737,200,90.5,99.39,1.8189167340339532,46.443370165745854,26.411306674330778,200
1,0.6,200,74.0,96.22,1.5395894428152492,43.75777027027027,25.037816699195467,200
2,0.6,200,69.5,94.66,1.4738865748157643,44.41762589928058,25.223600019545007,200
3,0.6,200,71.0,99.54,1.4272699665958093,46.01739436619719,24.717732936726126,200
4,0.6,200,72.0,99.97,1.4397905759162304,47.130069444444445,25.30210990667398,200
5,0.6,200,67.5,98.06,1.3684640522875817,44.76140740740741,23.50486523670083,200
6,0.6,200,72.0,95.91,1.5299026425591098,48.45798611111112,25.755689753084628,200
7,0.6,200,70.0,99.8,1.4005037783375316,51.67642857142857,25.328058887511492,200
8,0.7105263157894737,200,95.5,98.42,1.9437340153452685,42.80246073298429,28.225851489972385,200
9,0.7105263157894737,200,95.5,97.29,1.9713633533928199,45.696335078534034,26.540208863112923,200
10,0.7105263157894737,200,86.0,99.87,1.7185929648241205,43.5031976744186,27.34258328094323,200
11,0.7105263157894737,200,84.5,99.7,1.696969696969697,44.92355029585799,25.559085453613825,200
12,0.7105263157894737,200,79.0,97.09,1.6271116177842262,40.865886075949376,25.461579902289973,200
13,0.7105263157894737,200,88.5,99.61,1.7788558722458057,46.24909604519774,24.964073123300526,200
14,0.6,200,69.0,96.73,1.4314073764496917,46.119637681159425,22.16669430393529,200
15,0.6,200,64.5,90.97,1.417968317270411,48.10139534883721,22.248191701243737,200
16,0.8210526315789474,200,100.0,73.57000000000001,2.735771240032994,36.7504,17.92640254992366,200
17,0.7105263157894737,200,96.5,99.86,1.9399818126705062,47.54067357512954,27.468827162617753,200
18,0.8210526315789474,200,100.0,75.61,2.657940430078803,33.7626,20.890731354421582,200
19,0.8210526315789474,200,100.0,70.34,2.8299203640500568,34.66585,17.808627723225115,200
20,0.8210526315789474,200,100.0,74.18,2.7133896918461957,36.11675,20.28660889453184,200
21,0.7105263157894737,200,96.5,98.4,1.9625881631401407,46.056943005181346,27.212157199683315,200
23,0.7105263157894737,200,98.0,99.18,1.9823116803903629,48.406938775510206,24.014511634476065,200
48,1.1526315789473685,200,100.0,34.51,5.863288155568651,16.5964,9.665913586792337,200
49,1.0421052631578949,200,100.0,42.81,4.705604161740364,19.3546,11.902681799075799,200
50,1.0421052631578949,200,100.0,45.14,4.441964285714286,23.21215,12.008938500008439,200
77,1.3736842105263158,200,100.0,27.830000000000002,7.273391812865496,13.719199999999999,7.650467937210864,200
78,1.3736842105263158,200,100.0,27.310000000000002,7.425373134328358,13.900350000000001,7.470308556353992,200
79,1.3736842105263158,200,100.0,26.84,7.500942329438371,13.701350000000001,7.493915299097679,200
80,1.4842105263157896,200,100.0,23.01,8.652173913043478,11.347200000000003,6.288546513005302,200
81,1.4842105263157896,200,100.0,24.11,8.497011101622546,11.716800000000001,6.454703536859282,200
82,1.4842105263157896,200,100.0,24.66,8.159081590815909,12.499250000000002,6.661894484914987,200
83,1.4842105263157896,200,100.0,23.98,8.417935702199662,12.023499999999999,6.26413454982342,200
84,1.4842105263157896,200,100.0,23.82,8.48976109215017,12.206399999999999,6.6838064291172845,200
85,1.4842105263157896,200,100.0,27.32,7.4005206396429895,12.9255,7.597945553448369,200
86,1.4842105263157896,200,100.0,23.06,8.70135548753826,11.39615,6.405271202171446,200
87,1.4842105263157896,200,100.0,25.47,7.934609250398725,12.654349999999999,7.012707387451016,200
88,1.4842105263157896,200,100.0,23.47,8.751099384344768,12.0485,6.358444371394673,200
89,1.4842105263157896,200,100.0,23.78,8.57758620689655,11.5969,6.470076416408917,200
90,1.5947368421052632,200,100.0,21.56,9.476190476190476,10.056600000000001,5.590854919747815,200
91,1.5947368421052632,200,100.0,22.16,8.984198645598195,10.9517,6.0235403461342845,200
92,1.5947368421052632,200,100.0,22.13,9.187442289935365,10.723850000000002,5.908796838434153,200
93,1.5947368421052632,200,100.0,20.150000000000002,10.247167868177137,9.67515,5.2729620348152535,200
94,1.5947368421052632,200,100.0,21.27,9.69785575048733,10.2024,5.868503378161888,200
95,1.5947368421052632,200,100.0,22.3,9.099222679469593,11.00905,6.4061637716221576,200
96,1.5947368421052632,200,100.0,20.78,9.64614638875424,9.873050000000001,5.480683044170067,200
97,1.5947368421052632,200,100.0,21.94,9.162062615101288,10.40375,5.747552980514325,200
76,1.3736842105263158,200,100.0,27.330000000000002,7.284040995607613,13.561100000000001,7.318192433412934,200
75,1.3736842105263158,200,100.0,26.35,7.555049354593773,12.80865,7.071343732872998,200
74,1.3736842105263158,200,100.0,27.62,7.38404452690167,13.6821,7.32082131414009,200
73,1.3736842105263158,200,100.0,26.94,7.419835943325876,13.235500000000002,7.687251389124594,200
51,1.1526315789473685,200,100.0,36.410000000000004,5.467032967032966,18.004700000000003,9.827430276486117,200
52,1.1526315789473685,200,100.0,32.15,6.263770853005981,16.238599999999998,8.872244453814446,200
53,1.1526315789473685,200,100.0,34.75,5.766444508838019,17.75125,9.062332885307216,200
54,1.1526315789473685,200,100.0,39.21,5.135483870967742,19.7874,11.356267666649236,200
55,1.1526315789473685,200,100.0,35.42,5.627828054298643,16.864150000000002,9.762589566952194,200
56,1.1526315789473685,200,100.0,35.050000000000004,5.741488747836121,16.616300000000003,9.603842212165969,200
57,1.1526315789473685,200,100.0,34.46,5.784883720930233,16.2902,9.457850582888334,200
58,1.263157894736842,200,100.0,31.62,6.31946649730073,15.6637,8.765039469076699,200
59,1.1526315789473685,200,100.0,38.1,5.224468364400105,18.4933,10.552487387355718,200
60,1.1526315789473685,200,100.0,36.050000000000004,5.54317548746518,17.726850000000002,10.039924151223033,200
198,2.7,200,100.0,12.370000000000001,16.100323624595468,5.92865,3.23227562346254,200
